url_num,code,content-length,ms,isp,source
1,200,19389,330.73902130127,twcny,origin
1,200,19389,531.378030776978,twcny,origin
1,200,19389,294.368982315063,twcny,origin
1,200,19389,274.646997451782,twcny,origin
1,200,19389,313.640832901001,twcny,origin
1,200,19389,535.833120346069,twcny,origin
1,200,19389,299.358129501343,twcny,origin
1,200,19389,283.94889831543,twcny,origin
1,200,19389,517.273902893066,twcny,origin
1,200,19389,277.791976928711,twcny,origin
2,200,18384,521.37303352356,twcny,origin
2,200,18384,293.928861618042,twcny,origin
2,200,18385,291.091918945312,twcny,origin
2,200,18383,281.645059585571,twcny,origin
2,200,18384,277.853965759277,twcny,origin
2,200,18384,278.656959533691,twcny,origin
2,200,18385,294.672966003418,twcny,origin
2,200,18384,575.938940048218,twcny,origin
2,200,18384,309.931993484497,twcny,origin
2,200,18384,300.2769947052,twcny,origin
3,200,18593,339.150905609131,twcny,origin
3,200,18594,285.512924194336,twcny,origin
3,200,18593,290.467977523804,twcny,origin
3,200,18593,284.539937973022,twcny,origin
3,200,18593,284.772157669067,twcny,origin
3,200,18593,345.978975296021,twcny,origin
3,200,18593,288.073062896729,twcny,origin
3,200,18593,528.156995773315,twcny,origin
3,200,18594,284.624099731445,twcny,origin
3,200,18593,297.035932540894,twcny,origin
4,200,21282,685.261011123657,twcny,origin
4,200,21282,484.62700843811,twcny,origin
4,200,21282,463.482141494751,twcny,origin
4,200,21282,471.806049346924,twcny,origin
4,200,21282,519.304990768433,twcny,origin
4,200,21281,752.746105194092,twcny,origin
4,200,21282,499.324083328247,twcny,origin
4,200,21282,478.605031967163,twcny,origin
4,200,21281,493.193864822388,twcny,origin
4,200,21282,576.226949691772,twcny,origin
5,200,19008,284.769058227539,twcny,origin
5,200,19008,335.468053817749,twcny,origin
5,200,19008,314.227104187012,twcny,origin
5,200,19008,339.164018630981,twcny,origin
5,200,19007,306.635141372681,twcny,origin
5,200,19008,307.214975357056,twcny,origin
5,200,19008,539.705038070679,twcny,origin
5,200,19008,285.669088363647,twcny,origin
5,200,19008,294.204950332642,twcny,origin
5,200,19008,278.584957122803,twcny,origin
6,200,19950,299.726009368896,twcny,origin
6,200,19949,323.242902755737,twcny,origin
6,200,19950,300.958871841431,twcny,origin
6,200,19950,298.195123672485,twcny,origin
6,200,19950,344.450950622559,twcny,origin
6,200,19950,315.038919448853,twcny,origin
6,200,19950,427.084922790527,twcny,origin
6,200,19950,286.499977111816,twcny,origin
6,200,19950,281.434059143066,twcny,origin
6,200,19950,491.247177124023,twcny,origin
7,200,21473,302.528858184814,twcny,origin
7,200,21473,295.436859130859,twcny,origin
7,200,21473,490.196943283081,twcny,origin
7,200,21473,302.616119384766,twcny,origin
7,200,21473,283.801078796387,twcny,origin
7,200,21473,279.168128967285,twcny,origin
7,200,21473,288.097858428955,twcny,origin
7,200,21472,309.483051300049,twcny,origin
7,200,21473,289.527177810669,twcny,origin
7,200,21473,296.165943145752,twcny,origin
8,200,20530,325.774908065796,twcny,origin
8,200,20530,288.407802581787,twcny,origin
8,200,20529,334.59997177124,twcny,origin
8,200,20530,329.437971115112,twcny,origin
8,200,20530,337.277173995972,twcny,origin
8,200,20530,280.186891555786,twcny,origin
8,200,20530,305.661916732788,twcny,origin
8,200,20530,361.281871795654,twcny,origin
8,200,20530,296.321868896484,twcny,origin
8,200,20530,297.661066055298,twcny,origin
9,200,20114,286.232948303223,twcny,origin
9,200,20114,300.589084625244,twcny,origin
9,200,20115,530.857801437378,twcny,origin
9,200,20114,302.613973617554,twcny,origin
9,200,20114,287.657022476196,twcny,origin
9,200,20114,274.060010910034,twcny,origin
9,200,20114,346.146106719971,twcny,origin
9,200,20114,345.221996307373,twcny,origin
9,200,20113,497.863054275513,twcny,origin
9,200,20114,337.467908859253,twcny,origin
10,200,19138,298.849105834961,twcny,origin
10,200,19138,329.596042633057,twcny,origin
10,200,19138,285.147905349731,twcny,origin
10,200,19138,282.130002975464,twcny,origin
10,200,19138,320.595979690552,twcny,origin
10,200,19138,283.766031265259,twcny,origin
10,200,19137,519.009828567505,twcny,origin
10,200,19138,284.617185592651,twcny,origin
10,200,19138,281.094074249268,twcny,origin
10,200,19138,298.328876495361,twcny,origin
11,200,18678,272.629976272583,twcny,origin
11,200,18679,344.225883483887,twcny,origin
11,200,18678,303.018093109131,twcny,origin
11,200,18679,367.03896522522,twcny,origin
11,200,18678,289.00408744812,twcny,origin
11,200,18678,294.890880584717,twcny,origin
11,200,18678,287.615060806274,twcny,origin
11,200,18678,307.785034179688,twcny,origin
11,200,18678,278.542995452881,twcny,origin
11,200,18679,297.149896621704,twcny,origin
12,200,19598,311.444044113159,twcny,origin
12,200,19598,283.788204193115,twcny,origin
12,200,19598,284.501791000366,twcny,origin
12,200,19599,359.621047973633,twcny,origin
12,200,19598,316.166877746582,twcny,origin
12,200,19598,337.858915328979,twcny,origin
12,200,19599,309.904098510742,twcny,origin
12,200,19598,301.968097686768,twcny,origin
12,200,19599,613.833904266357,twcny,origin
12,200,19598,313.626050949097,twcny,origin
13,200,20038,303.192138671875,twcny,origin
13,200,20038,305.7861328125,twcny,origin
13,200,20038,307.240009307861,twcny,origin
13,200,20038,282.989025115967,twcny,origin
13,200,20038,297.698020935059,twcny,origin
13,200,20038,286.367177963257,twcny,origin
13,200,20038,307.082891464233,twcny,origin
13,200,20038,314.521074295044,twcny,origin
13,200,20039,286.032915115356,twcny,origin
13,200,20038,313.905000686646,twcny,origin
14,200,19050,305.630207061768,twcny,origin
14,200,19050,506.016969680786,twcny,origin
14,200,19050,1193.30096244812,twcny,origin
14,200,19050,276.96704864502,twcny,origin
14,200,19049,277.520895004272,twcny,origin
14,200,19050,333.131074905396,twcny,origin
14,200,19050,305.616140365601,twcny,origin
14,200,19050,306.221961975098,twcny,origin
14,200,19050,312.535047531128,twcny,origin
14,200,19050,281.99315071106,twcny,origin
15,200,18995,281.627178192139,twcny,origin
15,200,18994,280.776977539062,twcny,origin
15,200,18994,515.181064605713,twcny,origin
15,200,18994,284.642934799194,twcny,origin
15,200,18994,567.203998565674,twcny,origin
15,200,18994,293.691873550415,twcny,origin
15,200,18994,290.725946426392,twcny,origin
15,200,18994,322.573900222778,twcny,origin
15,200,18994,483.242988586426,twcny,origin
15,200,18994,289.248943328857,twcny,origin
16,200,19964,317.342042922974,twcny,origin
16,200,19964,309.561014175415,twcny,origin
16,200,19964,291.573047637939,twcny,origin
16,200,19964,278.46884727478,twcny,origin
16,200,19963,338.721990585327,twcny,origin
16,200,19964,333.132028579712,twcny,origin
16,200,19964,297.54900932312,twcny,origin
16,200,19964,300.197839736938,twcny,origin
16,200,19964,528.716087341309,twcny,origin
16,200,19964,341.855049133301,twcny,origin
17,200,20153,303.812980651855,twcny,origin
17,200,20153,614.925146102905,twcny,origin
17,200,20153,363.839864730835,twcny,origin
17,200,20153,304.265022277832,twcny,origin
17,200,20153,483.809947967529,twcny,origin
17,200,20153,307.646989822388,twcny,origin
17,200,20153,351.495981216431,twcny,origin
17,200,20153,307.245969772339,twcny,origin
17,200,20153,321.676015853882,twcny,origin
17,200,20153,289.006948471069,twcny,origin
18,200,20023,309.978008270264,twcny,origin
18,200,20023,279.750108718872,twcny,origin
18,200,20022,281.008005142212,twcny,origin
18,200,20023,294.134140014648,twcny,origin
18,200,20023,302.237033843994,twcny,origin
18,200,20023,283.452033996582,twcny,origin
18,200,20023,318.790912628174,twcny,origin
18,200,20021,516.592979431152,twcny,origin
18,200,20023,333.935976028442,twcny,origin
18,200,20023,481.009006500244,twcny,origin
19,200,17905,319.889068603516,twcny,origin
19,200,17905,290.313959121704,twcny,origin
19,200,17905,489.660024642944,twcny,origin
19,200,17905,311.169147491455,twcny,origin
19,200,17905,342.3011302948,twcny,origin
