url_num,code,content-length,ms,hit/miss,isp,cdn
1,200,8137,551.222085952759,MISS,ap-northeast-1,edgecast
1,200,8137,9.57202911376953,HIT,ap-northeast-1,edgecast
2,200,218554,2179.02398109436,MISS,ap-northeast-1,edgecast
2,200,218554,86.1837863922119,HIT,ap-northeast-1,edgecast
3,200,218554,16.0551071166992,HIT,ap-northeast-1,edgecast
4,200,11656,655.734062194824,MISS,ap-northeast-1,edgecast
4,200,11656,23.1208801269531,HIT,ap-northeast-1,edgecast
5,200,15608,867.414951324463,MISS,ap-northeast-1,edgecast
5,200,15608,12.523889541626,HIT,ap-northeast-1,edgecast
6,200,15608,7.49087333679199,HIT,ap-northeast-1,edgecast
7,200,44959,1070.79577445984,MISS,ap-northeast-1,edgecast
7,200,44959,54.8000335693359,HIT,ap-northeast-1,edgecast
8,200,30196,1505.73205947876,MISS,ap-northeast-1,edgecast
8,200,30196,8.09717178344727,HIT,ap-northeast-1,edgecast
9,200,34888,975.61502456665,MISS,ap-northeast-1,edgecast
9,200,34888,44.9008941650391,HIT,ap-northeast-1,edgecast
10,200,34720,1438.98010253906,MISS,ap-northeast-1,edgecast
10,200,34720,13.6549472808838,HIT,ap-northeast-1,edgecast
11,200,34720,33.0350399017334,HIT,ap-northeast-1,edgecast
12,200,49273,1494.30203437805,MISS,ap-northeast-1,edgecast
12,200,49273,16.4668560028076,HIT,ap-northeast-1,edgecast
13,200,49273,12.5820636749268,HIT,ap-northeast-1,edgecast
14,200,32032,994.534015655518,MISS,ap-northeast-1,edgecast
14,200,32032,38.4900569915771,HIT,ap-northeast-1,edgecast
15,200,32032,13.7608051300049,HIT,ap-northeast-1,edgecast
16,200,3092,590.390920639038,MISS,ap-northeast-1,edgecast
16,200,3092,26.2820720672607,HIT,ap-northeast-1,edgecast
17,200,3092,29.7520160675049,HIT,ap-northeast-1,edgecast
18,200,131943,1479.82883453369,MISS,ap-northeast-1,edgecast
18,200,131943,92.7939414978027,HIT,ap-northeast-1,edgecast
19,200,7739,446.07400894165,MISS,ap-northeast-1,edgecast
19,200,7739,9.51004028320312,HIT,ap-northeast-1,edgecast
20,200,5605,400.459051132202,MISS,ap-northeast-1,edgecast
20,200,5605,26.2069702148438,HIT,ap-northeast-1,edgecast
21,200,6590,518.741130828857,MISS,ap-northeast-1,edgecast
21,200,6590,6.90102577209473,HIT,ap-northeast-1,edgecast
22,200,18709,878.567934036255,MISS,ap-northeast-1,edgecast
22,200,18709,43.6220169067383,HIT,ap-northeast-1,edgecast
23,200,6052,777.776002883911,MISS,ap-northeast-1,edgecast
23,200,6052,9.08303260803223,HIT,ap-northeast-1,edgecast
24,200,15348,675.341129302979,MISS,ap-northeast-1,edgecast
24,200,15348,32.7069759368896,HIT,ap-northeast-1,edgecast
25,200,13694,449.617147445679,MISS,ap-northeast-1,edgecast
25,200,13694,7.1418285369873,HIT,ap-northeast-1,edgecast
26,200,37540,877.270936965942,MISS,ap-northeast-1,edgecast
26,200,37540,38.6390686035156,HIT,ap-northeast-1,edgecast
27,200,3610,222.814798355103,MISS,ap-northeast-1,edgecast
27,200,3610,9.31596755981445,HIT,ap-northeast-1,edgecast
28,200,9143,720.816850662231,MISS,ap-northeast-1,edgecast
28,200,9143,28.3920764923096,HIT,ap-northeast-1,edgecast
29,200,2658,530.765056610107,MISS,ap-northeast-1,edgecast
29,200,2658,9.20295715332031,HIT,ap-northeast-1,edgecast
30,200,6828,563.400030136108,MISS,ap-northeast-1,edgecast
30,200,6828,30.3599834442139,HIT,ap-northeast-1,edgecast
31,200,6853,762.356996536255,MISS,ap-northeast-1,edgecast
31,200,6853,10.8399391174316,HIT,ap-northeast-1,edgecast
32,200,18426,608.940124511719,MISS,ap-northeast-1,edgecast
32,200,18426,40.3571128845215,HIT,ap-northeast-1,edgecast
33,200,258706,3410.52293777466,MISS,ap-northeast-1,edgecast
33,200,258706,16.430139541626,HIT,ap-northeast-1,edgecast
34,200,66190,1715.75903892517,MISS,ap-northeast-1,edgecast
34,200,66190,11.43479347229,HIT,ap-northeast-1,edgecast
35,200,24015,794.445991516113,MISS,ap-northeast-1,edgecast
35,200,24015,38.6240482330322,HIT,ap-northeast-1,edgecast
36,200,60043,1137.86315917969,MISS,ap-northeast-1,edgecast
36,200,60043,10.3299617767334,HIT,ap-northeast-1,edgecast
37,200,60043,1433.4020614624,MISS,ap-northeast-1,edgecast
37,200,60043,47.9910373687744,HIT,ap-northeast-1,edgecast
38,200,87593,2042.33193397522,MISS,ap-northeast-1,edgecast
38,200,87593,16.1831378936768,HIT,ap-northeast-1,edgecast
39,200,87593,238.342046737671,MISS,ap-northeast-1,edgecast
39,200,87593,61.5789890289307,HIT,ap-northeast-1,edgecast
40,200,8817,793.349027633667,MISS,ap-northeast-1,edgecast
40,200,8817,9.75990295410156,HIT,ap-northeast-1,edgecast
41,200,8817,951.690912246704,MISS,ap-northeast-1,edgecast
41,200,8817,26.4499187469482,HIT,ap-northeast-1,edgecast
42,200,26487,871.728181838989,MISS,ap-northeast-1,edgecast
42,200,26487,12.5348567962646,HIT,ap-northeast-1,edgecast
43,200,26487,790.958881378174,MISS,ap-northeast-1,edgecast
43,200,26487,59.3879222869873,HIT,ap-northeast-1,edgecast
44,200,5367,501.281976699829,MISS,ap-northeast-1,edgecast
44,200,5367,12.3782157897949,HIT,ap-northeast-1,edgecast
45,200,5367,534.731864929199,MISS,ap-northeast-1,edgecast
45,200,5367,33.0450534820557,HIT,ap-northeast-1,edgecast
46,200,423600,5272.38416671753,MISS,ap-northeast-1,edgecast
46,200,423600,20.6398963928223,HIT,ap-northeast-1,edgecast
47,200,638502,5580.79290390015,MISS,ap-northeast-1,edgecast
47,200,638502,124.067783355713,HIT,ap-northeast-1,edgecast
48,200,638502,5986.48190498352,MISS,ap-northeast-1,edgecast
48,200,638502,33.3669185638428,HIT,ap-northeast-1,edgecast
49,200,8013,593.012094497681,MISS,ap-northeast-1,edgecast
49,200,8013,38.6121273040771,HIT,ap-northeast-1,edgecast
50,200,12205,1175.06003379822,MISS,ap-northeast-1,edgecast
50,200,12205,23.0879783630371,HIT,ap-northeast-1,edgecast
51,200,894353,4236.47689819336,MISS,ap-northeast-1,edgecast
51,200,894353,170.914173126221,HIT,ap-northeast-1,edgecast
52,200,153220,2761.08908653259,MISS,ap-northeast-1,edgecast
52,200,153220,75.1080513000488,HIT,ap-northeast-1,edgecast
53,200,39202,1507.37190246582,MISS,ap-northeast-1,edgecast
53,200,39202,21.3029384613037,HIT,ap-northeast-1,edgecast
54,200,32301,1374.24802780151,MISS,ap-northeast-1,edgecast
54,200,32301,38.8500690460205,HIT,ap-northeast-1,edgecast
55,200,22515,649.554967880249,MISS,ap-northeast-1,edgecast
55,200,22515,7.34186172485352,HIT,ap-northeast-1,edgecast
56,200,1101,313.409805297852,MISS,ap-northeast-1,edgecast
56,200,1101,27.6579856872559,HIT,ap-northeast-1,edgecast
57,200,4753,253.788948059082,MISS,ap-northeast-1,edgecast
57,200,4753,6.52909278869629,HIT,ap-northeast-1,edgecast
