url_num,code,content-length,ms,hit/miss,cdn
99,200,619936,189.731121063232,HIT,akamai
100,200,619936,190.554141998291,MISS,akamai
100,200,619936,195.85108757019,HIT,akamai
101,200,7490,25.7668495178223,MISS,akamai
101,200,7490,25.5999565124512,HIT,akamai
102,200,9786,26.3388156890869,MISS,akamai
102,200,9786,24.634838104248,HIT,akamai
103,200,135050,60.2798461914062,MISS,akamai
103,200,135050,64.5790100097656,HIT,akamai
104,200,33872,36.2260341644287,MISS,akamai
104,200,33872,40.7459735870361,HIT,akamai
105,200,27795,35.991907119751,MISS,akamai
105,200,27795,34.8579883575439,HIT,akamai
106,200,19650,34.7690582275391,MISS,akamai
106,200,19650,33.2560539245605,HIT,akamai
107,200,1069,19.5879936218262,MISS,akamai
107,200,1069,17.5790786743164,HIT,akamai
108,200,4325,18.6481475830078,MISS,akamai
108,200,4325,18.7461376190186,HIT,akamai
109,200,26045,35.9649658203125,MISS,akamai
109,200,26045,37.0650291442871,HIT,akamai
110,200,17389,34.815788269043,MISS,akamai
110,200,17389,27.9369354248047,HIT,akamai
111,200,7912,24.9819755554199,MISS,akamai
111,200,7912,25.2811908721924,HIT,akamai
112,200,7912,24.1200923919678,HIT,akamai
113,200,225595,96.7400074005127,MISS,akamai
113,200,225595,83.6660861968994,HIT,akamai
114,200,11752,25.7940292358398,MISS,akamai
114,200,11752,25.9959697723389,HIT,akamai
115,200,11752,27.0791053771973,HIT,akamai
116,200,15178,28.5379886627197,MISS,akamai
116,200,15178,26.1600017547607,HIT,akamai
117,200,15178,27.4629592895508,HIT,akamai
118,200,46697,40.6529903411865,MISS,akamai
118,200,46697,42.3438549041748,HIT,akamai
119,200,30050,37.3818874359131,MISS,akamai
119,200,30050,36.1127853393555,HIT,akamai
120,200,30050,34.2121124267578,HIT,akamai
121,200,34773,38.4950637817383,MISS,akamai
121,200,34773,36.8959903717041,HIT,akamai
122,200,6289,25.7430076599121,MISS,akamai
122,200,6289,24.4250297546387,HIT,akamai
123,200,34524,39.0169620513916,MISS,akamai
123,200,34524,35.1910591125488,HIT,akamai
124,200,49736,40.518045425415,MISS,akamai
124,200,49736,41.4230823516846,HIT,akamai
125,200,31640,41.2640571594238,MISS,akamai
125,200,31640,36.9610786437988,HIT,akamai
126,200,31640,38.4299755096436,HIT,akamai
127,200,2987,18.0900096893311,MISS,akamai
127,200,2987,17.8098678588867,HIT,akamai
128,200,2987,17.7597999572754,HIT,akamai
129,200,136768,69.0979957580566,MISS,akamai
129,200,136768,63.5788440704346,HIT,akamai
130,200,7495,27.8079509735107,MISS,akamai
130,200,7495,27.2698402404785,HIT,akamai
131,200,5376,20.9100246429443,MISS,akamai
131,200,5376,27.4951457977295,HIT,akamai
132,200,6595,24.6040821075439,MISS,akamai
132,200,6595,26.1650085449219,HIT,akamai
133,200,18806,34.89089012146,MISS,akamai
133,200,18806,32.6478481292725,HIT,akamai
134,200,5798,25.6288051605225,MISS,akamai
134,200,5798,24.0340232849121,HIT,akamai
135,200,15416,29.0439128875732,MISS,akamai
135,200,15416,27.3439884185791,HIT,akamai
136,200,13573,27.5039672851562,MISS,akamai
136,200,13573,26.7038345336914,HIT,akamai
137,200,38276,38.4860038757324,MISS,akamai
137,200,38276,39.2088890075684,HIT,akamai
138,200,3343,21.5058326721191,MISS,akamai
138,200,3343,18.5439586639404,HIT,akamai
139,200,8920,24.63698387146,MISS,akamai
139,200,8920,25.6459712982178,HIT,akamai
140,200,2531,20.1311111450195,MISS,akamai
140,200,2531,18.2969570159912,HIT,akamai
141,200,6526,26.4420509338379,MISS,akamai
141,200,6526,25.3949165344238,HIT,akamai
142,200,6743,27.8499126434326,MISS,akamai
142,200,6743,25.1781940460205,HIT,akamai
143,200,18470,33.1170558929443,MISS,akamai
143,200,18470,34.5189571380615,HIT,akamai
144,200,274052,109.168767929077,MISS,akamai
144,200,274052,106.552124023438,HIT,akamai
145,200,67339,50.0590801239014,MISS,akamai
145,200,67339,48.4950542449951,HIT,akamai
146,200,23666,34.991979598999,MISS,akamai
146,200,23666,33.5409641265869,HIT,akamai
147,200,63069,46.0429191589355,MISS,akamai
147,200,63069,44.5058345794678,HIT,akamai
148,200,63069,52.1650314331055,HIT,akamai
149,200,93066,54.6860694885254,MISS,akamai
149,200,93066,55.8681488037109,HIT,akamai
150,200,47752,43.1079864501953,MISS,akamai
150,200,47752,44.1539287567139,HIT,akamai
151,200,93066,56.2808513641357,MISS,akamai
151,200,93066,49.7708320617676,HIT,akamai
152,200,8808,25.7511138916016,MISS,akamai
152,200,8808,24.5048999786377,HIT,akamai
153,200,8808,25.4569053649902,MISS,akamai
153,200,8808,25.5742073059082,HIT,akamai
154,200,26890,36.870002746582,MISS,akamai
154,200,26890,35.5000495910645,HIT,akamai
155,200,26890,38.1200313568115,MISS,akamai
155,200,26890,33.6730480194092,HIT,akamai
156,200,5424,20.5018520355225,MISS,akamai
156,200,5424,19.6089744567871,HIT,akamai
157,200,5424,21.3971138000488,MISS,akamai
157,200,5424,19.0720558166504,HIT,akamai
158,200,473052,154.934883117676,MISS,akamai
158,200,473052,151.515007019043,HIT,akamai
159,200,716281,224.472999572754,MISS,akamai
159,200,716281,213.342905044556,HIT,akamai
160,200,716281,221.074819564819,MISS,akamai
160,200,716281,216.922044754028,HIT,akamai
161,200,8292,25.7101058959961,MISS,akamai
161,200,8292,25.8400440216064,HIT,akamai
162,200,12925,29.2699337005615,MISS,akamai
162,200,12925,30.3242206573486,HIT,akamai
163,200,1016002,287.925958633423,MISS,akamai
163,200,1016002,286.625862121582,HIT,akamai
164,200,159936,70.4867839813232,MISS,akamai
164,200,159936,78.5930156707764,HIT,akamai
165,200,39219,39.3218994140625,MISS,akamai
165,200,39219,38.8939380645752,HIT,akamai
166,200,32148,35.8321666717529,MISS,akamai
166,200,32148,35.9928607940674,HIT,akamai
167,200,22229,37.1229648590088,MISS,akamai
167,200,22229,33.9000225067139,HIT,akamai
168,200,767,19.5000171661377,MISS,akamai
168,200,767,17.2979831695557,HIT,akamai
169,200,4605,20.3609466552734,MISS,akamai
169,200,4605,18.643856048584,HIT,akamai
170,200,28650,38.3031368255615,MISS,akamai
170,200,28650,37.6369953155518,HIT,akamai
171,200,19251,33.134937286377,MISS,akamai
171,200,19251,35.269021987915,HIT,akamai
172,200,7266,26.1681079864502,MISS,akamai
172,200,7266,24.8880386352539,HIT,akamai
173,200,184116,95.0160026550293,MISS,akamai
173,200,184116,74.4538307189941,HIT,akamai
174,200,184116,79.9949169158936,HIT,akamai
175,200,10230,25.4249572753906,MISS,akamai
175,200,10230,27.5049209594727,HIT,akamai
176,200,10230,26.494026184082,HIT,akamai
177,200,13224,25.770902633667,MISS,akamai
177,200,13224,26.3409614562988,HIT,akamai
178,200,13224,28.0327796936035,HIT,akamai
179,200,25814,35.5370044708252,MISS,akamai
179,200,25814,34.639835357666,HIT,akamai
180,200,29513,35.3829860687256,MISS,akamai
180,200,29513,34.0971946716309,HIT,akamai
181,200,29332,34.5718860626221,MISS,akamai
181,200,29332,35.7491970062256,HIT,akamai
182,200,29332,37.6739501953125,HIT,akamai
183,200,41855,40.2419567108154,MISS,akamai
183,200,41855,40.6689643859863,HIT,akamai
184,200,26295,35.0260734558105,MISS,akamai
184,200,26295,37.6870632171631,HIT,akamai
185,200,2810,18.043041229248,MISS,akamai
185,200,2810,19.0069675445557,HIT,akamai
186,200,2810,19.5047855377197,HIT,akamai
187,200,112720,59.9739551544189,MISS,akamai
187,200,112720,58.9349269866943,HIT,akamai
188,200,6699,24.1141319274902,MISS,akamai
188,200,6699,24.744987487793,HIT,akamai
189,200,6699,26.6947746276855,HIT,akamai
190,200,5135,20.6730365753174,MISS,akamai
190,200,5135,19.1950798034668,HIT,akamai
191,200,5984,24.6918201446533,MISS,akamai
191,200,5984,24.9509811401367,HIT,akamai
192,200,16257,27.8990268707275,MISS,akamai
192,200,16257,28.7270545959473,HIT,akamai
193,200,4858,19.8171138763428,MISS,akamai
193,200,4858,18.5902118682861,HIT,akamai
