url_num,code,content-length,ms,hit/miss,cdn,isp
56,200,1101,52.9460906982422,HIT,akamai,twcny
57,200,4753,104.980945587158,MISS,akamai,twcny
57,200,4753,56.6461086273193,HIT,akamai,twcny
58,200,28151,178.290128707886,MISS,akamai,twcny
58,200,28151,125.243186950684,HIT,akamai,twcny
59,200,19403,159.175872802734,MISS,akamai,twcny
59,200,19403,129.725933074951,HIT,akamai,twcny
60,200,7349,126.045942306519,MISS,akamai,twcny
60,200,7349,80.1680088043213,HIT,akamai,twcny
61,200,186533,323.334932327271,MISS,akamai,twcny
61,200,186533,333.592891693115,HIT,akamai,twcny
62,200,10230,128.635883331299,MISS,akamai,twcny
62,200,10230,82.7600955963135,HIT,akamai,twcny
63,200,10230,76.5440464019775,HIT,akamai,twcny
64,200,13548,235.015153884888,MISS,akamai,twcny
64,200,13548,86.9801044464111,HIT,akamai,twcny
65,200,13548,90.2779102325439,HIT,akamai,twcny
66,200,25876,156.931161880493,MISS,akamai,twcny
66,200,25876,112.483024597168,HIT,akamai,twcny
67,200,30148,197.103977203369,MISS,akamai,twcny
67,200,30148,140.597105026245,HIT,akamai,twcny
68,200,29828,179.913997650146,MISS,akamai,twcny
68,200,29828,131.314992904663,HIT,akamai,twcny
69,200,42386,210.619926452637,MISS,akamai,twcny
69,200,42386,169.65913772583,HIT,akamai,twcny
70,200,26931,167.748928070068,MISS,akamai,twcny
70,200,26931,134.032964706421,HIT,akamai,twcny
71,200,2938,101.404905319214,MISS,akamai,twcny
71,200,2938,49.5469570159912,HIT,akamai,twcny
72,200,115172,311.989068984985,MISS,akamai,twcny
72,200,115172,242.089986801147,HIT,akamai,twcny
73,200,6919,137.765884399414,MISS,akamai,twcny
73,200,6919,79.7538757324219,HIT,akamai,twcny
74,200,5175,101.222991943359,MISS,akamai,twcny
74,200,5175,62.4079704284668,HIT,akamai,twcny
75,200,6341,105.433940887451,MISS,akamai,twcny
75,200,6341,63.4438991546631,HIT,akamai,twcny
76,200,17441,154.821157455444,MISS,akamai,twcny
76,200,17441,105.884075164795,HIT,akamai,twcny
77,200,5307,105.601072311401,MISS,akamai,twcny
77,200,5307,57.1820735931396,HIT,akamai,twcny
78,200,13335,1086.63988113403,MISS,akamai,twcny
78,200,13335,84.8290920257568,HIT,akamai,twcny
79,200,11794,131.8519115448,MISS,akamai,twcny
79,200,11794,83.0130577087402,HIT,akamai,twcny
80,200,32027,187.459945678711,MISS,akamai,twcny
80,200,32027,135.231018066406,HIT,akamai,twcny
81,200,3263,110.968112945557,MISS,akamai,twcny
81,200,3263,55.743932723999,HIT,akamai,twcny
82,200,7931,129.739046096802,MISS,akamai,twcny
82,200,7931,77.5091648101807,HIT,akamai,twcny
83,200,2446,102.654933929443,MISS,akamai,twcny
83,200,2446,55.2618503570557,HIT,akamai,twcny
84,200,5980,99.4470119476318,MISS,akamai,twcny
84,200,5980,58.8369369506836,HIT,akamai,twcny
85,200,6053,111.181974411011,MISS,akamai,twcny
85,200,6053,54.9080371856689,HIT,akamai,twcny
86,200,16031,149.810791015625,MISS,akamai,twcny
86,200,16031,108.937978744507,HIT,akamai,twcny
87,200,230208,368.179082870483,MISS,akamai,twcny
87,200,230208,327.528953552246,HIT,akamai,twcny
88,200,57620,262.560129165649,MISS,akamai,twcny
88,200,57620,197.894811630249,HIT,akamai,twcny
89,200,20745,302.735090255737,MISS,akamai,twcny
89,200,20745,114.7301197052,HIT,akamai,twcny
90,200,55474,221.165180206299,MISS,akamai,twcny
90,200,55474,211.389064788818,HIT,akamai,twcny
91,200,81448,355.520963668823,MISS,akamai,twcny
91,200,81448,223.239898681641,HIT,akamai,twcny
92,200,81448,267.739772796631,MISS,akamai,twcny
92,200,81448,215.286016464233,HIT,akamai,twcny
93,200,8590,131.323099136353,MISS,akamai,twcny
93,200,8590,76.930046081543,HIT,akamai,twcny
94,200,8590,155.71403503418,MISS,akamai,twcny
94,200,8590,77.5220394134521,HIT,akamai,twcny
95,200,24798,201.282978057861,MISS,akamai,twcny
95,200,24798,115.658044815063,HIT,akamai,twcny
96,200,24798,159.884929656982,MISS,akamai,twcny
96,200,24798,147.414922714233,HIT,akamai,twcny
97,200,5125,97.6669788360596,MISS,akamai,twcny
97,200,5125,60.8079433441162,HIT,akamai,twcny
98,200,408445,478.672981262207,MISS,akamai,twcny
98,200,408445,451.153039932251,HIT,akamai,twcny
99,200,619936,583.70304107666,MISS,akamai,twcny
99,200,619936,558.272123336792,HIT,akamai,twcny
100,200,619936,621.249914169312,MISS,akamai,twcny
100,200,619936,598.773956298828,HIT,akamai,twcny
101,200,7490,146.420955657959,MISS,akamai,twcny
101,200,7490,79.2250633239746,HIT,akamai,twcny
102,200,9786,127.312898635864,MISS,akamai,twcny
102,200,9786,82.0281505584717,HIT,akamai,twcny
103,200,135050,330.703973770142,MISS,akamai,twcny
103,200,135050,299.632787704468,HIT,akamai,twcny
104,200,33872,182.159185409546,MISS,akamai,twcny
104,200,33872,138.97705078125,HIT,akamai,twcny
105,200,27795,189.783096313477,MISS,akamai,twcny
105,200,27795,133.845090866089,HIT,akamai,twcny
106,200,19650,153.888940811157,MISS,akamai,twcny
106,200,19650,106.482982635498,HIT,akamai,twcny
107,200,1069,95.6220626831055,MISS,akamai,twcny
107,200,1069,61.2161159515381,HIT,akamai,twcny
108,200,4325,113.667964935303,MISS,akamai,twcny
108,200,4325,73.4648704528809,HIT,akamai,twcny
109,200,26045,157.169818878174,MISS,akamai,twcny
109,200,26045,113.017082214355,HIT,akamai,twcny
110,200,17389,162.361860275269,MISS,akamai,twcny
110,200,17389,104.935884475708,HIT,akamai,twcny
111,200,7912,128.611087799072,MISS,akamai,twcny
111,200,7912,80.388069152832,HIT,akamai,twcny
112,200,7912,72.6661682128906,HIT,akamai,twcny
113,200,225595,624.786138534546,MISS,akamai,twcny
113,200,225595,377.914905548096,HIT,akamai,twcny
114,200,11752,129.148006439209,MISS,akamai,twcny
114,200,11752,86.0469341278076,HIT,akamai,twcny
115,200,11752,79.3490409851074,HIT,akamai,twcny
116,200,15178,134.305000305176,MISS,akamai,twcny
116,200,15178,129.996061325073,HIT,akamai,twcny
117,200,15178,105.448961257935,HIT,akamai,twcny
118,200,46697,204.792022705078,MISS,akamai,twcny
118,200,46697,160.324096679688,HIT,akamai,twcny
119,200,30050,183.945894241333,MISS,akamai,twcny
119,200,30050,136.497020721436,HIT,akamai,twcny
120,200,30050,128.093957901001,HIT,akamai,twcny
121,200,34773,222.941160202026,MISS,akamai,twcny
121,200,34773,152.493000030518,HIT,akamai,twcny
122,200,6289,128.341913223267,MISS,akamai,twcny
122,200,6289,57.2969913482666,HIT,akamai,twcny
123,200,34524,183.870792388916,MISS,akamai,twcny
123,200,34524,139.692068099976,HIT,akamai,twcny
124,200,49736,231.734991073608,MISS,akamai,twcny
124,200,49736,185.436010360718,HIT,akamai,twcny
125,200,31640,176.027059555054,MISS,akamai,twcny
125,200,31640,130.670070648193,HIT,akamai,twcny
126,200,31640,153.962850570679,HIT,akamai,twcny
127,200,2987,130.826950073242,MISS,akamai,twcny
127,200,2987,95.3288078308105,HIT,akamai,twcny
128,200,2987,49.9629974365234,HIT,akamai,twcny
129,200,136768,293.901920318604,MISS,akamai,twcny
129,200,136768,261.595964431763,HIT,akamai,twcny
130,200,7495,130.66291809082,MISS,akamai,twcny
130,200,7495,99.3258953094482,HIT,akamai,twcny
131,200,5376,103.13081741333,MISS,akamai,twcny
131,200,5376,55.5360317230225,HIT,akamai,twcny
132,200,6595,134.505033493042,MISS,akamai,twcny
132,200,6595,57.9268932342529,HIT,akamai,twcny
133,200,18806,170.583963394165,MISS,akamai,twcny
133,200,18806,102.873086929321,HIT,akamai,twcny
134,200,5798,104.443788528442,MISS,akamai,twcny
134,200,5798,53.6210536956787,HIT,akamai,twcny
135,200,15416,156.929016113281,MISS,akamai,twcny
135,200,15416,105.756998062134,HIT,akamai,twcny
136,200,13573,127.190828323364,MISS,akamai,twcny
136,200,13573,1005.94997406006,HIT,akamai,twcny
137,200,38276,198.122978210449,MISS,akamai,twcny
137,200,38276,176.729917526245,HIT,akamai,twcny
138,200,3343,122.85304069519,MISS,akamai,twcny
138,200,3343,54.8789501190186,HIT,akamai,twcny
139,200,8920,132.061004638672,MISS,akamai,twcny
139,200,8920,79.841136932373,HIT,akamai,twcny
140,200,2531,105.033159255981,MISS,akamai,twcny
140,200,2531,53.9748668670654,HIT,akamai,twcny
141,200,6526,108.157873153687,MISS,akamai,twcny
141,200,6526,56.1609268188477,HIT,akamai,twcny
142,200,6743,127.341032028198,MISS,akamai,twcny
142,200,6743,77.1768093109131,HIT,akamai,twcny
143,200,18470,154.199123382568,MISS,akamai,twcny
143,200,18470,102.25510597229,HIT,akamai,twcny
144,200,274052,401.457071304321,MISS,akamai,twcny
144,200,274052,407.783985137939,HIT,akamai,twcny
145,200,67339,252.001047134399,MISS,akamai,twcny
145,200,67339,215.31081199646,HIT,akamai,twcny
146,200,23666,270.887136459351,MISS,akamai,twcny
146,200,23666,109.596014022827,HIT,akamai,twcny
147,200,63069,239.841938018799,MISS,akamai,twcny
147,200,63069,189.733982086182,HIT,akamai,twcny
148,200,63069,177.142858505249,HIT,akamai,twcny
149,200,93066,296.058177947998,MISS,akamai,twcny
149,200,93066,253.79490852356,HIT,akamai,twcny
150,200,47752,244.143009185791,MISS,akamai,twcny
150,200,47752,161.228895187378,HIT,akamai,twcny
151,200,93066,300.658941268921,MISS,akamai,twcny
151,200,93066,218.259811401367,HIT,akamai,twcny
152,200,8808,139.484882354736,MISS,akamai,twcny
152,200,8808,79.9031257629395,HIT,akamai,twcny
153,200,8808,127.901077270508,MISS,akamai,twcny
153,200,8808,80.0778865814209,HIT,akamai,twcny
154,200,26890,154.916048049927,MISS,akamai,twcny
154,200,26890,130.927085876465,HIT,akamai,twcny
155,200,26890,205.567121505737,MISS,akamai,twcny
155,200,26890,131.959915161133,HIT,akamai,twcny
156,200,5424,142.667770385742,MISS,akamai,twcny
