url_num,code,content-length,ms,hit/miss
1,200,8137,10.4951858520508,HIT
2,200,218554,53.6501407623291,HIT
3,200,218554,56.8561553955078,HIT
4,200,11656,13.2110118865967,HIT
5,200,15608,9.03892517089844,HIT
6,200,15608,8.44907760620117,HIT
7,200,44959,15.6469345092773,HIT
8,200,30196,14.6598815917969,HIT
9,200,34888,13.9279365539551,HIT
10,200,34720,13.4491920471191,HIT
11,200,34720,12.9020214080811,HIT
12,200,49273,62.4709129333496,HIT
13,200,49273,16.2069797515869,HIT
14,200,32032,14.5061016082764,HIT
15,200,32032,12.5141143798828,HIT
16,200,3092,9.86790657043457,HIT
17,200,3092,5.43999671936035,HIT
18,200,131943,43.9620018005371,HIT
19,200,7739,7.47895240783691,HIT
20,200,5605,7.41291046142578,HIT
21,200,6590,9.89699363708496,HIT
22,200,18709,12.0389461517334,HIT
23,200,6052,8.43095779418945,HIT
24,200,15348,9.27400588989258,HIT
25,200,13694,8.71586799621582,HIT
26,200,37540,14.4469738006592,HIT
27,200,3610,5.91802597045898,HIT
28,200,9143,7.43603706359863,HIT
29,200,2658,6.95514678955078,HIT
30,200,6828,7.11703300476074,HIT
31,200,6853,8.57806205749512,HIT
32,200,18426,11.591911315918,HIT
33,200,258706,73.462963104248,HIT
34,200,66190,25.9981155395508,HIT
35,200,24015,10.8470916748047,HIT
36,200,60043,21.1989879608154,HIT
37,200,60043,19.1969871520996,HIT
38,200,87593,25.2580642700195,HIT
39,200,87593,39.1359329223633,HIT
40,200,8817,14.3020153045654,HIT
41,200,8817,7.52615928649902,HIT
42,200,26487,21.4388370513916,HIT
43,200,26487,21.0449695587158,HIT
44,200,5367,7.2181224822998,HIT
45,200,5367,6.72197341918945,HIT
46,200,423600,118.942022323608,HIT
47,200,638502,168.078184127808,HIT
48,200,638502,171.370983123779,HIT
49,200,8013,7.88092613220215,HIT
50,200,12205,7.6758861541748,HIT
51,200,894353,222.170114517212,HIT
52,200,153220,41.3141250610352,HIT
53,200,39202,14.456033706665,HIT
54,200,32301,14.4188404083252,HIT
55,200,22515,10.9949111938477,HIT
56,200,1101,114.490032196045,HIT
57,200,4753,14.1720771789551,HIT
58,200,28151,11.4240646362305,HIT
59,200,19403,9.64188575744629,HIT
60,200,7349,7.02595710754395,HIT
61,200,186533,57.0590496063232,HIT
62,200,10230,9.24396514892578,HIT
63,200,10230,9.02915000915527,HIT
64,200,13548,9.0329647064209,HIT
65,200,13548,7.82299041748047,HIT
66,200,25876,12.1870040893555,HIT
67,200,30148,11.5630626678467,HIT
68,200,29828,12.8741264343262,HIT
69,200,42386,16.4499282836914,HIT
70,200,26931,10.7419490814209,HIT
71,200,2938,7.45296478271484,HIT
72,200,115172,44.6419715881348,HIT
73,200,6919,6.69407844543457,HIT
74,200,5175,6.45685195922852,HIT
75,200,6341,6.74796104431152,HIT
76,200,17441,10.2989673614502,HIT
77,200,5307,6.98494911193848,HIT
78,200,13335,8.29982757568359,HIT
79,200,11794,35.4359149932861,HIT
80,200,32027,12.3369693756104,HIT
81,200,3263,7.66181945800781,HIT
82,200,7931,8.19706916809082,HIT
83,200,2446,4.9278736114502,HIT
84,200,5980,6.63304328918457,HIT
85,200,6053,7.5840950012207,HIT
86,200,16031,9.2780590057373,HIT
87,200,230208,55.5260181427002,HIT
88,200,57620,26.1209011077881,HIT
89,200,20745,11.2600326538086,HIT
90,200,55474,19.9038982391357,HIT
91,200,81448,26.2868404388428,HIT
92,200,81448,23.3311653137207,HIT
93,200,8590,10.8189582824707,HIT
