url_num,code,content-length,ms,hit/miss
98,200,408445,213.104009628296,MISS
98,200,408445,133.633852005005,HIT
99,200,619936,228.235006332397,MISS
99,200,619936,189.731121063232,HIT
100,200,619936,190.554141998291,MISS
100,200,619936,195.85108757019,HIT
101,200,7490,25.7668495178223,MISS
101,200,7490,25.5999565124512,HIT
102,200,9786,26.3388156890869,MISS
102,200,9786,24.634838104248,HIT
103,200,135050,60.2798461914062,MISS
103,200,135050,64.5790100097656,HIT
104,200,33872,36.2260341644287,MISS
104,200,33872,40.7459735870361,HIT
105,200,27795,35.991907119751,MISS
105,200,27795,34.8579883575439,HIT
106,200,19650,34.7690582275391,MISS
106,200,19650,33.2560539245605,HIT
107,200,1069,19.5879936218262,MISS
107,200,1069,17.5790786743164,HIT
108,200,4325,18.6481475830078,MISS
108,200,4325,18.7461376190186,HIT
109,200,26045,35.9649658203125,MISS
109,200,26045,37.0650291442871,HIT
110,200,17389,34.815788269043,MISS
110,200,17389,27.9369354248047,HIT
111,200,7912,24.9819755554199,MISS
111,200,7912,25.2811908721924,HIT
112,200,7912,24.1200923919678,HIT
113,200,225595,96.7400074005127,MISS
113,200,225595,83.6660861968994,HIT
114,200,11752,25.7940292358398,MISS
114,200,11752,25.9959697723389,HIT
115,200,11752,27.0791053771973,HIT
116,200,15178,28.5379886627197,MISS
116,200,15178,26.1600017547607,HIT
117,200,15178,27.4629592895508,HIT
118,200,46697,40.6529903411865,MISS
118,200,46697,42.3438549041748,HIT
119,200,30050,37.3818874359131,MISS
119,200,30050,36.1127853393555,HIT
120,200,30050,34.2121124267578,HIT
121,200,34773,38.4950637817383,MISS
121,200,34773,36.8959903717041,HIT
122,200,6289,25.7430076599121,MISS
122,200,6289,24.4250297546387,HIT
123,200,34524,39.0169620513916,MISS
123,200,34524,35.1910591125488,HIT
124,200,49736,40.518045425415,MISS
124,200,49736,41.4230823516846,HIT
125,200,31640,41.2640571594238,MISS
125,200,31640,36.9610786437988,HIT
126,200,31640,38.4299755096436,HIT
127,200,2987,18.0900096893311,MISS
127,200,2987,17.8098678588867,HIT
128,200,2987,17.7597999572754,HIT
129,200,136768,69.0979957580566,MISS
129,200,136768,63.5788440704346,HIT
130,200,7495,27.8079509735107,MISS
130,200,7495,27.2698402404785,HIT
131,200,5376,20.9100246429443,MISS
131,200,5376,27.4951457977295,HIT
132,200,6595,24.6040821075439,MISS
132,200,6595,26.1650085449219,HIT
133,200,18806,34.89089012146,MISS
133,200,18806,32.6478481292725,HIT
134,200,5798,25.6288051605225,MISS
134,200,5798,24.0340232849121,HIT
135,200,15416,29.0439128875732,MISS
135,200,15416,27.3439884185791,HIT
136,200,13573,27.5039672851562,MISS
136,200,13573,26.7038345336914,HIT
137,200,38276,38.4860038757324,MISS
137,200,38276,39.2088890075684,HIT
138,200,3343,21.5058326721191,MISS
138,200,3343,18.5439586639404,HIT
139,200,8920,24.63698387146,MISS
139,200,8920,25.6459712982178,HIT
140,200,2531,20.1311111450195,MISS
140,200,2531,18.2969570159912,HIT
141,200,6526,26.4420509338379,MISS
141,200,6526,25.3949165344238,HIT
142,200,6743,27.8499126434326,MISS
142,200,6743,25.1781940460205,HIT
143,200,18470,33.1170558929443,MISS
143,200,18470,34.5189571380615,HIT
144,200,274052,109.168767929077,MISS
144,200,274052,106.552124023438,HIT
145,200,67339,50.0590801239014,MISS
145,200,67339,48.4950542449951,HIT
146,200,23666,34.991979598999,MISS
146,200,23666,33.5409641265869,HIT
147,200,63069,46.0429191589355,MISS
147,200,63069,44.5058345794678,HIT
148,200,63069,52.1650314331055,HIT
149,200,93066,54.6860694885254,MISS
149,200,93066,55.8681488037109,HIT
150,200,47752,43.1079864501953,MISS
150,200,47752,44.1539287567139,HIT
151,200,93066,56.2808513641357,MISS
