url_num,code,content-length,ms,hit/miss,cdn
1,200,8137,518.265008926392,MISS,akamai
1,200,8137,82.2091102600098,HIT,akamai
2,200,218554,344.251871109009,MISS,akamai
2,200,218554,353.343963623047,HIT,akamai
3,200,218554,327.74806022644,HIT,akamai
4,200,11656,134.609937667847,MISS,akamai
4,200,11656,87.2359275817871,HIT,akamai
5,200,15608,158.920049667358,MISS,akamai
5,200,15608,107.160091400146,HIT,akamai
6,200,15608,102.596998214722,HIT,akamai
7,200,44959,187.10994720459,MISS,akamai
7,200,44959,178.776979446411,HIT,akamai
8,200,30196,188.529014587402,MISS,akamai
8,200,30196,130.213022232056,HIT,akamai
9,200,34888,182.943105697632,MISS,akamai
9,200,34888,149.650096893311,HIT,akamai
10,200,34720,178.902864456177,MISS,akamai
10,200,34720,157.425880432129,HIT,akamai
11,200,34720,133.795976638794,HIT,akamai
12,200,49273,220.298051834106,MISS,akamai
12,200,49273,176.064014434814,HIT,akamai
13,200,49273,188.215970993042,HIT,akamai
14,200,32032,189.947128295898,MISS,akamai
14,200,32032,134.567975997925,HIT,akamai
15,200,32032,145.523071289062,HIT,akamai
16,200,3092,102.225065231323,MISS,akamai
16,200,3092,57.8889846801758,HIT,akamai
17,200,3092,53.5018444061279,HIT,akamai
18,200,131943,309.195995330811,MISS,akamai
18,200,131943,273.705005645752,HIT,akamai
19,200,7739,132.552146911621,MISS,akamai
19,200,7739,79.1499614715576,HIT,akamai
20,200,5605,121.120929718018,MISS,akamai
20,200,5605,54.7580718994141,HIT,akamai
21,200,6590,107.203006744385,MISS,akamai
21,200,6590,61.9637966156006,HIT,akamai
22,200,18709,158.915042877197,MISS,akamai
22,200,18709,109.302043914795,HIT,akamai
23,200,6052,105.19003868103,MISS,akamai
23,200,6052,55.5341243743896,HIT,akamai
24,200,15348,148.669958114624,MISS,akamai
24,200,15348,105.040073394775,HIT,akamai
25,200,13694,155.879020690918,MISS,akamai
25,200,13694,82.6020240783691,HIT,akamai
26,200,37540,197.717905044556,MISS,akamai
26,200,37540,164.836883544922,HIT,akamai
27,200,3610,95.613956451416,MISS,akamai
27,200,3610,55.9549331665039,HIT,akamai
28,200,9143,137.357950210571,MISS,akamai
28,200,9143,80.3768634796143,HIT,akamai
29,200,2658,102.118968963623,MISS,akamai
29,200,2658,61.2938404083252,HIT,akamai
30,200,6828,129.24599647522,MISS,akamai
30,200,6828,76.3840675354004,HIT,akamai
31,200,6853,135.345935821533,MISS,akamai
31,200,6853,89.8370742797852,HIT,akamai
32,200,18426,150.267124176025,MISS,akamai
32,200,18426,126.688003540039,HIT,akamai
33,200,258706,389.717102050781,MISS,akamai
33,200,258706,390.780925750732,HIT,akamai
34,200,66190,261.238813400269,MISS,akamai
34,200,66190,206.853866577148,HIT,akamai
35,200,24015,157.137155532837,MISS,akamai
35,200,24015,130.943059921265,HIT,akamai
36,200,60043,235.049962997437,MISS,akamai
36,200,60043,187.235832214355,HIT,akamai
37,200,60043,233.34002494812,MISS,akamai
37,200,60043,173.013925552368,HIT,akamai
38,200,87593,272.93586730957,MISS,akamai
38,200,87593,229.835033416748,HIT,akamai
39,200,87593,377.649068832397,MISS,akamai
39,200,87593,207.125902175903,HIT,akamai
40,200,8817,124.994039535522,MISS,akamai
40,200,8817,96.9119071960449,HIT,akamai
41,200,8817,133.164167404175,MISS,akamai
41,200,8817,96.6081619262695,HIT,akamai
42,200,26487,178.102016448975,MISS,akamai
42,200,26487,125.850915908813,HIT,akamai
43,200,26487,194.910049438477,MISS,akamai
43,200,26487,138.401985168457,HIT,akamai
44,200,5367,108.909130096436,MISS,akamai
44,200,5367,56.1058521270752,HIT,akamai
45,200,5367,116.527080535889,MISS,akamai
45,200,5367,56.635856628418,HIT,akamai
46,200,423600,458.894968032837,MISS,akamai
46,200,423600,481.836795806885,HIT,akamai
47,200,638502,618.950843811035,MISS,akamai
47,200,638502,567.677974700928,HIT,akamai
48,200,638502,569.859981536865,MISS,akamai
48,200,638502,578.038930892944,HIT,akamai
49,200,8013,161.425113677979,MISS,akamai
49,200,8013,82.0350646972656,HIT,akamai
50,200,12205,133.339166641235,MISS,akamai
50,200,12205,87.7599716186523,HIT,akamai
51,200,894353,716.320037841797,MISS,akamai
51,200,894353,715.087890625,HIT,akamai
52,200,153220,333.58097076416,MISS,akamai
52,200,153220,291.612148284912,HIT,akamai
53,200,39202,207.056045532227,MISS,akamai
53,200,39202,164.222002029419,HIT,akamai
54,200,32301,186.383962631226,MISS,akamai
54,200,32301,138.32688331604,HIT,akamai
55,200,22515,222.685098648071,MISS,akamai
55,200,22515,109.148979187012,HIT,akamai
56,200,1101,105.910062789917,MISS,akamai
56,200,1101,52.9460906982422,HIT,akamai
57,200,4753,104.980945587158,MISS,akamai
57,200,4753,56.6461086273193,HIT,akamai
58,200,28151,178.290128707886,MISS,akamai
58,200,28151,125.243186950684,HIT,akamai
59,200,19403,159.175872802734,MISS,akamai
59,200,19403,129.725933074951,HIT,akamai
60,200,7349,126.045942306519,MISS,akamai
60,200,7349,80.1680088043213,HIT,akamai
61,200,186533,323.334932327271,MISS,akamai
61,200,186533,333.592891693115,HIT,akamai
62,200,10230,128.635883331299,MISS,akamai
62,200,10230,82.7600955963135,HIT,akamai
63,200,10230,76.5440464019775,HIT,akamai
64,200,13548,235.015153884888,MISS,akamai
64,200,13548,86.9801044464111,HIT,akamai
65,200,13548,90.2779102325439,HIT,akamai
66,200,25876,156.931161880493,MISS,akamai
66,200,25876,112.483024597168,HIT,akamai
67,200,30148,197.103977203369,MISS,akamai
67,200,30148,140.597105026245,HIT,akamai
68,200,29828,179.913997650146,MISS,akamai
68,200,29828,131.314992904663,HIT,akamai
69,200,42386,210.619926452637,MISS,akamai
69,200,42386,169.65913772583,HIT,akamai
70,200,26931,167.748928070068,MISS,akamai
70,200,26931,134.032964706421,HIT,akamai
71,200,2938,101.404905319214,MISS,akamai
71,200,2938,49.5469570159912,HIT,akamai
72,200,115172,311.989068984985,MISS,akamai
72,200,115172,242.089986801147,HIT,akamai
73,200,6919,137.765884399414,MISS,akamai
73,200,6919,79.7538757324219,HIT,akamai
74,200,5175,101.222991943359,MISS,akamai
74,200,5175,62.4079704284668,HIT,akamai
75,200,6341,105.433940887451,MISS,akamai
75,200,6341,63.4438991546631,HIT,akamai
76,200,17441,154.821157455444,MISS,akamai
76,200,17441,105.884075164795,HIT,akamai
77,200,5307,105.601072311401,MISS,akamai
77,200,5307,57.1820735931396,HIT,akamai
78,200,13335,1086.63988113403,MISS,akamai
78,200,13335,84.8290920257568,HIT,akamai
79,200,11794,131.8519115448,MISS,akamai
79,200,11794,83.0130577087402,HIT,akamai
80,200,32027,187.459945678711,MISS,akamai
80,200,32027,135.231018066406,HIT,akamai
81,200,3263,110.968112945557,MISS,akamai
81,200,3263,55.743932723999,HIT,akamai
82,200,7931,129.739046096802,MISS,akamai
82,200,7931,77.5091648101807,HIT,akamai
83,200,2446,102.654933929443,MISS,akamai
83,200,2446,55.2618503570557,HIT,akamai
84,200,5980,99.4470119476318,MISS,akamai
84,200,5980,58.8369369506836,HIT,akamai
85,200,6053,111.181974411011,MISS,akamai
85,200,6053,54.9080371856689,HIT,akamai
86,200,16031,149.810791015625,MISS,akamai
86,200,16031,108.937978744507,HIT,akamai
87,200,230208,368.179082870483,MISS,akamai
87,200,230208,327.528953552246,HIT,akamai
88,200,57620,262.560129165649,MISS,akamai
88,200,57620,197.894811630249,HIT,akamai
89,200,20745,302.735090255737,MISS,akamai
89,200,20745,114.7301197052,HIT,akamai
90,200,55474,221.165180206299,MISS,akamai
90,200,55474,211.389064788818,HIT,akamai
91,200,81448,355.520963668823,MISS,akamai
91,200,81448,223.239898681641,HIT,akamai
92,200,81448,267.739772796631,MISS,akamai
92,200,81448,215.286016464233,HIT,akamai
93,200,8590,131.323099136353,MISS,akamai
93,200,8590,76.930046081543,HIT,akamai
94,200,8590,155.71403503418,MISS,akamai
94,200,8590,77.5220394134521,HIT,akamai
95,200,24798,201.282978057861,MISS,akamai
95,200,24798,115.658044815063,HIT,akamai
96,200,24798,159.884929656982,MISS,akamai
96,200,24798,147.414922714233,HIT,akamai
97,200,5125,97.6669788360596,MISS,akamai
97,200,5125,60.8079433441162,HIT,akamai
98,200,408445,478.672981262207,MISS,akamai
98,200,408445,451.153039932251,HIT,akamai
99,200,619936,583.70304107666,MISS,akamai
99,200,619936,558.272123336792,HIT,akamai
100,200,619936,621.249914169312,MISS,akamai
100,200,619936,598.773956298828,HIT,akamai
