url_num,code,content-length,ms,hit/miss
1,200,8137,518.265008926392,MISS
1,200,8137,82.2091102600098,HIT
2,200,218554,344.251871109009,MISS
2,200,218554,353.343963623047,HIT
3,200,218554,327.74806022644,HIT
4,200,11656,134.609937667847,MISS
4,200,11656,87.2359275817871,HIT
5,200,15608,158.920049667358,MISS
5,200,15608,107.160091400146,HIT
6,200,15608,102.596998214722,HIT
7,200,44959,187.10994720459,MISS
7,200,44959,178.776979446411,HIT
8,200,30196,188.529014587402,MISS
8,200,30196,130.213022232056,HIT
9,200,34888,182.943105697632,MISS
9,200,34888,149.650096893311,HIT
10,200,34720,178.902864456177,MISS
10,200,34720,157.425880432129,HIT
11,200,34720,133.795976638794,HIT
12,200,49273,220.298051834106,MISS
12,200,49273,176.064014434814,HIT
13,200,49273,188.215970993042,HIT
14,200,32032,189.947128295898,MISS
14,200,32032,134.567975997925,HIT
15,200,32032,145.523071289062,HIT
16,200,3092,102.225065231323,MISS
16,200,3092,57.8889846801758,HIT
17,200,3092,53.5018444061279,HIT
18,200,131943,309.195995330811,MISS
18,200,131943,273.705005645752,HIT
19,200,7739,132.552146911621,MISS
19,200,7739,79.1499614715576,HIT
20,200,5605,121.120929718018,MISS
20,200,5605,54.7580718994141,HIT
21,200,6590,107.203006744385,MISS
21,200,6590,61.9637966156006,HIT
22,200,18709,158.915042877197,MISS
22,200,18709,109.302043914795,HIT
23,200,6052,105.19003868103,MISS
23,200,6052,55.5341243743896,HIT
24,200,15348,148.669958114624,MISS
24,200,15348,105.040073394775,HIT
25,200,13694,155.879020690918,MISS
25,200,13694,82.6020240783691,HIT
26,200,37540,197.717905044556,MISS
26,200,37540,164.836883544922,HIT
27,200,3610,95.613956451416,MISS
27,200,3610,55.9549331665039,HIT
28,200,9143,137.357950210571,MISS
28,200,9143,80.3768634796143,HIT
29,200,2658,102.118968963623,MISS
29,200,2658,61.2938404083252,HIT
30,200,6828,129.24599647522,MISS
30,200,6828,76.3840675354004,HIT
31,200,6853,135.345935821533,MISS
31,200,6853,89.8370742797852,HIT
32,200,18426,150.267124176025,MISS
32,200,18426,126.688003540039,HIT
33,200,258706,389.717102050781,MISS
33,200,258706,390.780925750732,HIT
34,200,66190,261.238813400269,MISS
34,200,66190,206.853866577148,HIT
35,200,24015,157.137155532837,MISS
35,200,24015,130.943059921265,HIT
36,200,60043,235.049962997437,MISS
36,200,60043,187.235832214355,HIT
37,200,60043,233.34002494812,MISS
37,200,60043,173.013925552368,HIT
